<_csv.reader object at 0x7f878de6ea50>
Year/Année,Month/Mois,0
2006,Nov,5972
2006,Oct,6229
2006,Sep,5520
2007,Apr,6056
2007,Aug,5371
2007,Dec,6758
2007,Feb,6348
2007,Jan,7022
2007,Jul,5820
2007,Jun,5680
2007,Mar,6661
2007,May,6002
2007,Nov,6126
2007,Oct,6095
2007,Sep,5437
2008,Apr,6611
2008,Aug,5784
2008,Dec,6665
2008,Feb,6317
2008,Jan,6551
2008,Jul,5790
2008,Jun,5670
2008,Mar,6799
2008,May,6141
2008,Nov,6236
2008,Oct,6321
2008,Sep,5580
2009,Apr,6192
2009,Aug,5635
2009,Dec,6650
2009,Feb,6138
2009,Jan,7168
2009,Jul,5886
2009,Jun,5942
2009,Mar,6595
2009,May,6117
2009,Nov,6231
2009,Oct,6469
2009,Sep,5658
2010,Apr,6059
2010,Aug,6037
2010,Dec,7141
2010,Feb,5942
2010,Jan,6823
2010,Jul,5998
2010,Jun,5626
2010,Mar,6651
2010,May,6123
2010,Nov,6340
2010,Oct,6606
2010,Sep,5968
2011,Apr,6318
2011,Aug,5894
2011,Dec,6556
2011,Feb,6392
2011,Jan,7365
2011,Jul,5912
2011,Jun,5771
2011,Mar,6863
2011,May,6369
2011,Nov,6242
2011,Oct,6381
2011,Sep,5839
2012,Apr,6394
2012,Aug,6184
2012,Dec,7556
2012,Feb,6259
2012,Jan,6980
2012,Jul,5985
2012,Jun,5730
2012,Mar,6542
2012,May,6314
2012,Nov,6495
2012,Oct,6625
2012,Sep,5963
2013,Apr,6491
2013,Aug,6013
2013,Dec,7366
2013,Feb,6441
2013,Jan,8113
2013,Jul,6205
2013,Jun,5938
2013,Mar,6938
2013,May,6382
2013,Nov,6573
2013,Oct,6575
2013,Sep,6041
2014,Apr,6915
2014,Aug,6456
2014,Dec,7575
2014,Feb,6518
2014,Jan,7655
2014,Jul,6212
2014,Jun,6187
2014,Mar,7154
2014,May,6799
2014,Nov,7101
2014,Oct,6809
2014,Sep,6348
2015,Apr,6990
2015,Aug,6432
2015,Dec,7193
2015,Feb,7199
2015,Jan,8435
2015,Jul,6473
2015,Jun,6123
2015,Mar,7353
2015,May,6649
2015,Nov,6717
2015,Oct,7169
2015,Sep,6276
2016,Apr,7149
2016,Aug,6716
2016,Dec,7807
2016,Feb,7145
2016,Jan,7508
2016,Jul,6521
2016,Jun,6259
2016,Mar,7672
2016,May,7102
2016,Nov,7207
2016,Oct,7405
2016,Sep,6567
2017,Apr,6854
2017,Aug,7028
2017,Dec,8397
2017,Feb,7439
2017,Jan,8836
2017,Jul,6901
2017,Jun,6814
2017,Mar,7794
2017,May,7156
2017,Nov,7525
2017,Oct,7353
